month,google_trends
2025-02,77
2025-01,75
2024-12,67
2024-11,80
2024-10,76
2024-09,78
2024-08,75
2024-07,77
2024-06,80
2024-05,81
2024-04,81
2024-03,83
2024-02,86
2024-01,79
2023-12,69
2023-11,78
