month,github_stars
2023-12,5372.0
2024-01,5372.0
2024-02,5372.0
2024-03,5372.0
2024-04,5372.0
2024-05,5372.0
2024-06,5412.0
2024-07,5467.0
2024-08,5535.0
2024-09,5596.0
2024-10,5648.0
2024-11,5700.0
2024-12,5800.0
2025-01,5800.0
2025-02,5900.0
2025-03,5953.0
2025-04,6009.0
2025-05,6064.0
2025-06,6151.0
2025-07,6227.0
2025-08,6345.0
2025-09,6471.0
2025-10,6598.0
2025-11,6733.0
2025-12,6784.0
