,2024-01,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
mariadborg_downloads,71617,79039,74552,75840,69828,72452,91304,85491,90238,101014,78550,82015,116526
debian_popcon,400955,409699,369290,378631,348928,351505,353434,337494,345524,326865,331569,329985,283411
