PR-number,labels,created_date,creator_username,status,PR-title,PR-URL
3861,External Contribution,2025-02-28T04:39:43Z,odaysec,closed,fix: Use of Kernel.open or IO.read or similar sinks with a non-constant value,https://github.com/MariaDB/server/pull/3861
3860,MariaDB Foundation,2025-02-27T01:28:06Z,grooverdan,closed,MDEV-36156: MSAN Compile and Link flags needed for compile/run checks,https://github.com/MariaDB/server/pull/3860
3859,,2025-02-26T16:55:03Z,IOSTREAM18,closed,mariadb assignment to show triggers for show create table,https://github.com/MariaDB/server/pull/3859
3858,MariaDB Foundation,2025-02-26T08:01:33Z,grooverdan,closed,MDEV-36155: MSAN use-of-uninitialized-value innodb.log_file_size_online,https://github.com/MariaDB/server/pull/3858
3857,MariaDB Corporation,2025-02-26T07:22:33Z,mariadb-DebarunBanerjee,closed,MDEV-36149 UBSAN in X is outside the range of representable values of…,https://github.com/MariaDB/server/pull/3857
3856,MariaDB Corporation,2025-02-25T14:54:22Z,dr-m,open,MDEV-36122 Assertion ctx0->old_table->get_ref_count() == 1,https://github.com/MariaDB/server/pull/3856
3855,,2025-02-25T14:33:35Z,prafulk30,closed,Encora Test: Add Tailoring Column,https://github.com/MariaDB/server/pull/3855
3854,MariaDB Corporation,2025-02-25T13:48:04Z,vaintroub,closed,Rewrite the 'Types' chapter in coding standards.,https://github.com/MariaDB/server/pull/3854
3853,MariaDB Corporation,2025-02-25T03:59:56Z,ParadoxV5,open,MDEV-35837: Update CODING_STANDARDS to C++17,https://github.com/MariaDB/server/pull/3853
3852,MariaDB Corporation,2025-02-24T14:03:32Z,dr-m,closed,"MDEV-36152 mariadb-backup --backup crash during innodb_undo_log_truncate=ON, innodb_encrypt_log=ON",https://github.com/MariaDB/server/pull/3852
3851,External Contribution,2025-02-23T18:28:17Z,YoussefAhmed256,closed,"MDEV-36107 Add support for arithmetic, boolean, and ternary operators in do_block",https://github.com/MariaDB/server/pull/3851
3850,External Contribution,2025-02-21T17:54:39Z,mikejuliet13,open,MDEV-36184 - To optimise dot_product in Power9 and Power10 architecture,https://github.com/MariaDB/server/pull/3850
3849,MariaDB Corporation,2025-02-21T05:29:43Z,ParadoxV5,open,`rpl_start`/`stop_server.inc` fixes,https://github.com/MariaDB/server/pull/3849
3848,MariaDB Foundation,2025-02-20T11:54:21Z,fauust,open,MDEV-31134: sync galera settings with KB doc,https://github.com/MariaDB/server/pull/3848
3847,External Contribution,2025-02-20T05:59:19Z,MohanadKh03,open,MDEV-33671 Remove hardcoded open-files limit in safe_process.cc,https://github.com/MariaDB/server/pull/3847
3846,MariaDB Corporation,2025-02-19T21:42:26Z,DaveGosselin-MariaDB,open,MDEV-36094 Row ID filtering for reverse-ordered scans,https://github.com/MariaDB/server/pull/3846
3845,Codership,2025-02-19T08:30:46Z,denis-protivensky,open,MDEV-36116: Remove debug assert in TOI when executing thread is killed,https://github.com/MariaDB/server/pull/3845
3844,External Contribution,2025-02-18T22:43:36Z,FarihaIS,closed,MDEV-36124 Fix missing binary failures from test_upgrade.sh,https://github.com/MariaDB/server/pull/3844
3843,External Contribution,2025-02-18T12:44:26Z,Hossamfc9,closed,MDEV-23818 mysql option --script-dir,https://github.com/MariaDB/server/pull/3843
3842,Codership,2025-02-18T11:07:33Z,hemantdangi-gc,open,MDL BF-BF conflict on ALTER and UPDATE with multi-level foreign key parents,https://github.com/MariaDB/server/pull/3842
3841,External Contribution,2025-02-17T18:44:30Z,aryanA101a,closed,MDEV-27126 my_getopt compares option names case sensitively,https://github.com/MariaDB/server/pull/3841
3840,MariaDB Corporation,2025-02-17T13:25:37Z,vaintroub,open,MDEV-14091 Support password protected SSL key in server.,https://github.com/MariaDB/server/pull/3840
3839,External Contribution,2025-02-16T05:48:33Z,hp77-creator,open,MDEV-23962 Remove arc directory obsolete code and move it to mysql_upgrade,https://github.com/MariaDB/server/pull/3839
3838,External Contribution,2025-02-13T22:18:02Z,FarihaIS,open,MDEV-32362 Remove generated columns from INSERT statements in dump tool,https://github.com/MariaDB/server/pull/3838
3837,MariaDB Corporation,2025-02-13T19:22:22Z,DaveGosselin-MariaDB,closed,MDEV-34413 Index Condition Pushdown for reverse-ordered scans,https://github.com/MariaDB/server/pull/3837
3836,MariaDB Corporation,2025-02-13T16:45:57Z,andrelkin,open,MDEV-35217: Provide information for debugging parallel replication,https://github.com/MariaDB/server/pull/3836
3835,MariaDB Corporation,2025-02-13T12:45:45Z,dr-m,closed,MDEV-36082 Race condition between log_t::resize_start() and log_t::resize_abort(),https://github.com/MariaDB/server/pull/3835
3834,MariaDB Corporation,2025-02-13T10:23:39Z,dr-m,closed,MDEV-35436 dict_stats_fetch_from_ps() unnecessarily holds exclusive dict_sys.latch,https://github.com/MariaDB/server/pull/3834
3833,MariaDB Corporation,2025-02-12T19:08:07Z,DaveGosselin-MariaDB,closed,MDEV-36074 main.multidelete_engine missing result file,https://github.com/MariaDB/server/pull/3833
3832,MariaDB Corporation,2025-02-12T12:07:02Z,dr-m,closed,MDEV-36061 Incorrect error handling on DDL with FULLTEXT INDEX,https://github.com/MariaDB/server/pull/3832
